numSelect,Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,fitnessValue
14,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-571420.3031
14,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,-571472.0873
14,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-571420.3031
14,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,-571421.8887
14,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,-571421.8887
13,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-571472.3125
13,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-571472.3125
13,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,-571473.307
13,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-571449.1613
13,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-571449.1613
12,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,-571507.8354
12,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,-571531.4528
12,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,-571503.3163
12,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,-571499.976
12,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,-571507.8354
11,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,-571564.3227
11,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,-571560.0549
11,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,-571560.0549
11,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,-571604.7373
11,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,-571560.0549
10,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,-571623.2265
10,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,-571687.2145
10,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,-571664.1384
10,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,-571669.0931
10,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,-571654.4608
9,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,-571787.3867
9,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,-571777.6583
9,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,-571715.5921
9,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,-571781.7935
